4515208102,1
4515208103,1
4515208104,1
4515208105,1
4515208106,1
4515208107,1
4515208108,1
4515842472,1
4515842473,1
4515842474,1
4521208388,3
4521208389,2
4521260149,14
4521260150,21
4521260151,25
4521260152,14
4521260154,1
4521260155,7
4521260156,7
4521267588,1
4521267589,32
4521267590,34
4521267591,2
4521267592,1
4521267593,2
4521267594,1
4521267595,4
4521267596,1
4521267597,6
4521267598,1
4521279760,4
4521279762,4
4521279763,5
4521279764,4
4521279765,2
4521279766,1
4521279767,1
4521280581,6
4521280582,2
4521280583,4
4521280584,3
4521280585,4
4521280586,6
4521280587,5
4521280588,1
4521280589,2
4521280590,2
4521280591,7
4521280592,1
4521280593,3
4521280594,1
4521280595,1
4521280596,3
4521280597,2
4521280598,1
4521280599,3
4521286379,1
4521286380,3
4521286381,2
4521286382,43
4521286383,2
4521287781,27
4521287782,22
4521287783,9
4521287785,16
4521287786,12
4521287787,10
4521287788,7
4521287789,1
4521287790,2
4521287791,1
4521287792,3
4521287793,2
4521287794,4
4521287795,4
4521287796,23
4521287797,33
4521287799,26
4521291941,1
4521291942,1
4521291944,2
4521291945,2
4521291946,1
4521291947,2
4521291948,2
4521291949,1
4521291957,12
4521291962,33
4521296581,2
4521296582,2
4521296583,1
4521296584,1
4521296585,1
4521296586,1
4521296587,4
4521296588,6
4521296589,3
4521296590,1
4521296591,26
4521296592,2
4521296593,6
4521296594,1
4521296595,1
4521296596,1
4521296597,1
4521296598,1
4521296599,14
4521303943,2
4521303944,2
4521303947,4
4521303948,6
4521303949,2
4521303950,7
4521303951,13
4521303958,2
4521303959,1
4521303960,4
4521303961,5
4521303962,2
4521303998,6
4521308727,1
4521308728,1
4521308729,3
4521308730,1
4521308731,40
4521308732,32
4521308733,2
4521308734,4
4521308735,3
4521308736,2
4521308737,1
4521308763,1
4521308764,1
4521308766,2
4521308767,2
4521310767,8
4521310768,1
4521310769,3
4521310770,2
4521310771,1
4521310772,4
4521310773,1
4521310774,2
4521310775,5
4521310776,4
4521310777,5
4521310778,15
4521310779,3
4521310780,2
4521310781,6
4521312165,1
4521312176,3
4521312177,1
4521312178,21
4521313342,5
4521313343,1
4521313344,32
4521313345,13
4521313348,1
4521313349,1
4521313350,2
4521313351,2
4521313353,1
4521313363,1
4521313364,1
4521313365,3
4521313366,6
4521313367,3
4521315927,2
4521315928,1
4521315929,1
4521315930,1
4521315931,2
4521315932,3
4521315933,4
4521315934,6
4521315935,4
4521315936,5
4521315937,3
4521315938,3
4521316361,5
4521316362,6
4521316363,1
4521316364,27
4521316365,15
4521317162,2
4521319972,2
4521319973,2
4521319974,2
4521319975,2
4521319976,1
4521319977,1
4521319982,1
4521319983,26
4521319984,1
4521319985,1
4521319986,1
4521319987,1
4521319988,1
4521319989,1
4521319990,1
4521319993,1
4521320990,16
4521320993,4
4521320994,1
4521320995,1
4521321168,2
4521321169,3
4521321172,1
4521321175,1
4521321176,1
4521321179,2
4521321180,5
4521321181,9
4521321182,7
4521321183,2
4521321184,1
4521321185,1
4521321186,1
4521321188,2
4521322754,15
4521322758,4
4521322776,4
4521322777,2
4521322779,2
4521322780,2
4521322781,3
4521322782,3
4521322783,2
4521322784,6
4521322785,3
4521322786,10
4521322787,2
4521322788,5
4521322789,6
4521329582,1
4521331344,2
4521331345,13
4521331346,31
4521333378,3
4521333379,1
4521333380,1
4521338984,14
4521338985,4
4521338986,5
4521338987,7
4521338988,5
4521338989,3
4521338990,1
4521338991,1
4521338992,13
4521338996,1
4521338998,2
4521338999,6
4521346966,1
4521346967,64
4521346968,5
4521346969,8
4521346970,1
4521346971,2
4521346972,1
4521346973,1
4521346974,3
4521346979,5
4521346980,2
4521346981,7
4521346982,2
4521348361,7
4521348362,1
4521348363,1
4521348364,4
4521348365,9
4521348366,3
4521348367,12
4521348368,3
4521348369,1
4521348370,5
4521348371,4
4521348372,6
4521348373,1
4521348374,2
4521348375,1
4521348376,1
4521348377,4
4521348378,6
4521351325,9
4521351326,3
4521351327,7
4521351328,7
4521351329,1
4521351359,3
4521351360,3
4521351361,2
4521351362,3
4521351363,2
4521351364,3
4521351365,2
4521351368,3
4521351372,1
4521354927,7
4521354928,6
4521354929,1
4521354955,1
4521354956,6
4521354957,8
4521354958,8
4521354959,10
4521354960,5
4521354961,10
4521354962,4
4521354963,1
4521354964,1
4521354969,3
4521354970,4
4521354971,2
4521355907,3
4521355908,2
4521355909,3
4521355910,3
4521355911,1
4521355912,1
4521355913,1
4521355914,1
4521355915,1
4521355963,1
4521355964,1
4521355965,1
4521355967,68
4521355969,1
4521355970,2
4521355971,4
4521355972,2
4521355973,25
4521355974,3
4521355975,3
4521355976,52
4521355977,2
4521355978,28
4521355979,1
4521355980,14
4521355981,4
4521355982,4
4521355983,4
4521355984,4
